               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014677,            0.010868,             0.07598,           0.0086518,               0.997,            0.048095,            0.040058,           0.0055688,           0.0029688,             0.03758,            0.009439,            0.009439,            0.009439
                  36,            0.015086,             0.01048,            0.074988,            0.008711,                   1,            0.051023,            0.042464,           0.0052804,           0.0027009,            0.037594,           0.0094225,           0.0094225,           0.0094225
                  37,            0.017549,            0.011032,            0.077387,           0.0088074,               0.997,            0.072268,            0.056313,           0.0064184,           0.0031475,            0.037518,            0.009406,            0.009406,            0.009406
                  38,              0.0144,            0.010894,            0.078366,           0.0086949,              0.9955,            0.064653,            0.054011,           0.0055176,           0.0027825,            0.037405,           0.0093895,           0.0093895,           0.0093895
                  39,            0.012967,            0.010332,            0.073576,           0.0087489,               0.997,            0.062762,            0.050555,           0.0058444,           0.0026981,            0.037348,            0.009373,            0.009373,            0.009373
                  40,            0.015135,            0.010283,            0.077137,           0.0088437,               0.997,            0.065219,            0.056967,           0.0048168,           0.0025716,            0.037334,           0.0093565,           0.0093565,           0.0093565
                  41,            0.014607,             0.01033,            0.076041,           0.0088145,                   1,            0.091955,            0.079643,           0.0052742,            0.002753,            0.037177,             0.00934,             0.00934,             0.00934
                  42,            0.013766,            0.010459,            0.072501,           0.0088047,                   1,            0.078784,            0.066171,            0.005046,           0.0027403,             0.03714,           0.0093235,           0.0093235,           0.0093235
                  43,            0.015962,            0.010315,            0.076563,           0.0086836,               0.997,            0.092269,            0.071682,           0.0072449,           0.0026381,            0.037064,            0.009307,            0.009307,            0.009307
                  44,            0.014336,            0.010656,            0.075552,           0.0087262,              0.9955,            0.097008,            0.076144,           0.0054766,           0.0027691,            0.036997,           0.0092905,           0.0092905,           0.0092905
                  45,            0.014451,            0.010338,            0.074751,           0.0086173,              0.9955,            0.086487,            0.071976,           0.0051797,           0.0028048,            0.036969,            0.009274,            0.009274,            0.009274
                  46,            0.017613,            0.010962,            0.077633,           0.0087451,                   1,            0.092145,            0.074211,           0.0054228,           0.0027943,            0.036832,           0.0092575,           0.0092575,           0.0092575
                  47,            0.014204,            0.010131,             0.07593,            0.008766,               0.997,            0.080016,            0.060578,           0.0064203,           0.0027739,            0.036656,            0.009241,            0.009241,            0.009241
                  48,            0.016903,            0.010294,            0.077123,           0.0087237,               0.997,            0.090653,            0.076091,            0.005409,           0.0026734,              0.0365,           0.0092245,           0.0092245,           0.0092245
                  49,            0.014159,            0.010776,            0.071915,           0.0086669,                   1,              0.1039,            0.079718,           0.0055493,           0.0027145,            0.036334,            0.009208,            0.009208,            0.009208
                  50,            0.013754,            0.010573,             0.07271,           0.0087507,                   1,            0.098924,            0.079279,           0.0051774,           0.0028405,            0.036116,           0.0091915,           0.0091915,           0.0091915
                  51,            0.015106,             0.01011,            0.073702,           0.0088373,                   1,             0.10766,            0.085422,             0.00589,           0.0028328,            0.036154,            0.009175,            0.009175,            0.009175
                  52,            0.014709,           0.0096892,             0.07335,           0.0087441,               0.997,              0.1302,             0.10576,           0.0063059,           0.0028331,            0.035974,           0.0091585,           0.0091585,           0.0091585
                  53,            0.018051,            0.010284,            0.079273,           0.0088281,                   1,             0.12787,             0.10402,           0.0053665,           0.0027903,            0.035486,            0.009142,            0.009142,            0.009142
                  54,            0.013555,           0.0095987,            0.073577,           0.0086588,                   1,             0.12799,             0.10856,           0.0065289,           0.0028167,            0.035477,           0.0091255,           0.0091255,           0.0091255
                  55,            0.016138,           0.0099868,            0.075487,           0.0086817,                   1,             0.11885,            0.094107,           0.0052066,           0.0026881,            0.035373,            0.009109,            0.009109,            0.009109
                  56,            0.015228,            0.010482,            0.070709,             0.56569,             0.15085,             0.13239,             0.10722,           0.0051253,           0.0028776,            0.035003,           0.0090925,           0.0090925,           0.0090925
                  57,            0.014744,            0.010117,            0.072533,           0.0086242,             0.98799,             0.13068,             0.10521,           0.0051953,           0.0030207,            0.035141,            0.009076,            0.009076,            0.009076
                  58,             0.01382,           0.0098245,            0.070319,           0.0086833,             0.99099,             0.15142,              0.1205,           0.0059418,           0.0027423,            0.034662,           0.0090595,           0.0090595,           0.0090595
                  59,            0.014091,            0.010074,            0.071371,           0.0087251,                   1,             0.14199,             0.10238,           0.0061242,           0.0027208,            0.034691,            0.009043,            0.009043,            0.009043
