                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.45474,                0.80527,                 1.1292,                0.62308,                0.78847,                0.86586,                 0.7622,                0.60132,                 1.2429,                 1.3256,             6.1675e-05,             6.1675e-05,             6.1675e-05
                     34,                0.44416,                0.80492,                 1.1163,                0.75762,                0.65168,                0.84918,                0.75296,                0.59837,                 1.3633,                 1.3578,             6.1568e-05,             6.1568e-05,             6.1568e-05
                     35,                0.44448,                0.79965,                 1.1165,                0.67224,                0.76903,                0.84166,                0.74602,                 0.5923,                 1.2858,                 1.3106,             6.1461e-05,             6.1461e-05,             6.1461e-05
                     36,                0.45354,                0.78773,                 1.1402,                0.67428,                0.76744,                0.84914,                 0.7447,                0.60681,                 1.3184,                 1.3343,             6.1354e-05,             6.1354e-05,             6.1354e-05
                     37,                0.44714,                0.77471,                 1.1187,                0.75054,                0.71141,                0.86066,                 0.7554,                0.61673,                 1.2446,                 1.3175,             6.1246e-05,             6.1246e-05,             6.1246e-05
                     38,                0.42746,                0.74314,                 1.1079,                 0.8086,                0.66958,                0.86776,                0.76636,                0.61246,                 1.1862,                 1.3498,             6.1139e-05,             6.1139e-05,             6.1139e-05
                     39,                 0.4279,                0.76871,                 1.1122,                0.75419,                 0.6757,                  0.857,                0.73396,                0.65208,                  1.256,                 1.4059,             6.1032e-05,             6.1032e-05,             6.1032e-05
                     40,                0.42028,                0.70623,                 1.0918,                0.64954,                 0.8166,                0.87895,                0.76591,                0.62079,                 1.1625,                 1.3301,             6.0924e-05,             6.0924e-05,             6.0924e-05
                     41,                0.41963,                0.71067,                 1.0989,                0.68482,                0.75691,                0.83421,                0.73245,                0.59982,                 1.1999,                 1.3224,             6.0817e-05,             6.0817e-05,             6.0817e-05
                     42,                0.42865,                0.70502,                 1.1035,                0.59856,                0.77277,                0.84034,                0.70951,                0.67338,                 1.2423,                 1.4792,              6.071e-05,              6.071e-05,              6.071e-05
